,best
adjunct_island,0.658
superlative_quantifiers_2,0.74
anaphor_gender_agreement,0.623
tough_vs_raising_1,0.38
anaphor_number_agreement,0.511
tough_vs_raising_2,0.643
animate_subject_passive,0.582
wh_questions_subject_gap,0.86
animate_subject_trans,0.509
causative,0.45
wh_vs_that_no_gap,0.765
complex_NP_island,0.4
coordinate_structure_constraint_complex_left_branch,0.119
left_branch_island_echo_question,0.589
coordinate_structure_constraint_object_extraction,0.263
transitive,0.591
determiner_noun_agreement_1,0.589
wh_island,0.839
determiner_noun_agreement_2,0.522
only_npi_scope,0.217
determiner_noun_agreement_irregular_1,0.591
passive_1,0.482
determiner_noun_agreement_irregular_2,0.634
principle_A_domain_1,0.983
determiner_noun_agreement_with_adj_2,0.499
left_branch_island_simple_question,0.22
determiner_noun_agreement_with_adj_irregular_1,0.589
matrix_question_npi_licensor_present,0.124
determiner_noun_agreement_with_adj_irregular_2,0.534
npi_present_1,0.247
determiner_noun_agreement_with_adjective_1,0.517
principle_A_domain_2,0.497
distractor_agreement_relational_noun,0.427
principle_A_domain_3,0.514
distractor_agreement_relative_clause,0.42
drop_argument,0.397
wh_vs_that_with_gap,0.312
ellipsis_n_bar_1,0.281
ellipsis_n_bar_2,0.582
principle_A_reconstruction,0.237
existential_there_object_raising,0.658
regular_plural_subject_verb_agreement_1,0.491
existential_there_quantifiers_1,0.826
regular_plural_subject_verb_agreement_2,0.526
existential_there_quantifiers_2,0.458
sentential_negation_npi_licensor_present,0.996
existential_there_subject_raising,0.557
wh_questions_object_gap,0.499
expletive_it_object_raising,0.614
inchoative,0.512
intransitive,0.387
sentential_negation_npi_scope,0.62
irregular_past_participle_adjectives,0.439
sentential_subject_island,0.587
irregular_past_participle_verbs,0.839
npi_present_2,0.282
irregular_plural_subject_verb_agreement_1,0.605
only_npi_licensor_present,0.0
irregular_plural_subject_verb_agreement_2,0.559
passive_2,0.428
principle_A_c_command,0.622
principle_A_case_1,0.999
principle_A_case_2,0.468
superlative_quantifiers_1,0.356
wh_questions_subject_gap_long_distance,0.88
wh_vs_that_no_gap_long_distance,0.846
wh_vs_that_with_gap_long_distance,0.274
