,best
adjunct_island,0.615
superlative_quantifiers_2,0.695
anaphor_gender_agreement,0.742
tough_vs_raising_1,0.461
anaphor_number_agreement,0.671
tough_vs_raising_2,0.599
animate_subject_passive,0.55
wh_questions_subject_gap,0.565
animate_subject_trans,0.56
causative,0.427
wh_vs_that_no_gap,0.815
complex_NP_island,0.513
coordinate_structure_constraint_complex_left_branch,0.316
left_branch_island_echo_question,0.591
coordinate_structure_constraint_object_extraction,0.663
transitive,0.593
determiner_noun_agreement_1,0.535
wh_island,0.857
determiner_noun_agreement_2,0.538
only_npi_scope,0.416
determiner_noun_agreement_irregular_1,0.562
passive_1,0.571
determiner_noun_agreement_irregular_2,0.638
principle_A_domain_1,0.985
determiner_noun_agreement_with_adj_2,0.514
left_branch_island_simple_question,0.471
determiner_noun_agreement_with_adj_irregular_1,0.577
matrix_question_npi_licensor_present,0.037
determiner_noun_agreement_with_adj_irregular_2,0.539
npi_present_1,0.321
determiner_noun_agreement_with_adjective_1,0.509
principle_A_domain_2,0.509
distractor_agreement_relational_noun,0.442
principle_A_domain_3,0.506
distractor_agreement_relative_clause,0.469
drop_argument,0.512
wh_vs_that_with_gap,0.272
ellipsis_n_bar_1,0.454
ellipsis_n_bar_2,0.48
principle_A_reconstruction,0.368
existential_there_object_raising,0.681
regular_plural_subject_verb_agreement_1,0.519
existential_there_quantifiers_1,0.865
regular_plural_subject_verb_agreement_2,0.476
existential_there_quantifiers_2,0.418
sentential_negation_npi_licensor_present,1.0
existential_there_subject_raising,0.571
wh_questions_object_gap,0.342
expletive_it_object_raising,0.65
inchoative,0.397
intransitive,0.409
sentential_negation_npi_scope,0.642
irregular_past_participle_adjectives,0.94
sentential_subject_island,0.571
irregular_past_participle_verbs,0.657
npi_present_2,0.242
irregular_plural_subject_verb_agreement_1,0.581
only_npi_licensor_present,0.05
irregular_plural_subject_verb_agreement_2,0.559
passive_2,0.547
principle_A_c_command,0.512
principle_A_case_1,1.0
principle_A_case_2,0.441
superlative_quantifiers_1,0.045
wh_questions_subject_gap_long_distance,0.696
wh_vs_that_no_gap_long_distance,0.893
wh_vs_that_with_gap_long_distance,0.219
