,epoch_1
adjunct_island,0.529
anaphor_gender_agreement,0.329
anaphor_number_agreement,0.442
animate_subject_passive,0.523
animate_subject_trans,0.497
causative,0.428
complex_NP_island,0.563
coordinate_structure_constraint_complex_left_branch,0.432
coordinate_structure_constraint_object_extraction,0.568
determiner_noun_agreement_1,0.493
determiner_noun_agreement_2,0.53
determiner_noun_agreement_irregular_1,0.493
determiner_noun_agreement_irregular_2,0.481
determiner_noun_agreement_with_adj_2,0.511
determiner_noun_agreement_with_adj_irregular_1,0.551
determiner_noun_agreement_with_adj_irregular_2,0.494
determiner_noun_agreement_with_adjective_1,0.515
distractor_agreement_relational_noun,0.474
distractor_agreement_relative_clause,0.527
drop_argument,0.635
ellipsis_n_bar_1,0.232
ellipsis_n_bar_2,0.449
existential_there_object_raising,0.619
existential_there_quantifiers_1,0.905
existential_there_quantifiers_2,0.573
existential_there_subject_raising,0.527
expletive_it_object_raising,0.557
inchoative,0.406
intransitive,0.532
irregular_past_participle_adjectives,0.811
irregular_past_participle_verbs,0.396
irregular_plural_subject_verb_agreement_1,0.496
irregular_plural_subject_verb_agreement_2,0.521
left_branch_island_echo_question,0.275
left_branch_island_simple_question,0.499
matrix_question_npi_licensor_present,0.243
npi_present_1,0.122
npi_present_2,0.197
only_npi_licensor_present,0.81
only_npi_scope,0.812
passive_1,0.668
passive_2,0.616
principle_A_c_command,0.562
principle_A_case_1,0.94
principle_A_case_2,0.474
principle_A_domain_1,0.571
principle_A_domain_2,0.542
principle_A_domain_3,0.499
principle_A_reconstruction,0.426
regular_plural_subject_verb_agreement_1,0.423
regular_plural_subject_verb_agreement_2,0.489
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.302
sentential_subject_island,0.454
superlative_quantifiers_1,0.557
superlative_quantifiers_2,0.278
tough_vs_raising_1,0.498
tough_vs_raising_2,0.554
transitive,0.557
wh_island,0.328
wh_questions_object_gap,0.923
wh_questions_subject_gap,0.978
wh_questions_subject_gap_long_distance,0.955
wh_vs_that_no_gap,0.997
wh_vs_that_no_gap_long_distance,0.996
wh_vs_that_with_gap,0.007
wh_vs_that_with_gap_long_distance,0.006
