,epoch_8
adjunct_island,0.701
anaphor_gender_agreement,0.684
anaphor_number_agreement,0.564
animate_subject_passive,0.578
animate_subject_trans,0.56
causative,0.423
complex_NP_island,0.543
coordinate_structure_constraint_complex_left_branch,0.304
coordinate_structure_constraint_object_extraction,0.235
determiner_noun_agreement_1,0.547
determiner_noun_agreement_2,0.5
determiner_noun_agreement_irregular_1,0.518
determiner_noun_agreement_irregular_2,0.534
determiner_noun_agreement_with_adj_2,0.476
determiner_noun_agreement_with_adj_irregular_1,0.523
determiner_noun_agreement_with_adj_irregular_2,0.537
determiner_noun_agreement_with_adjective_1,0.522
distractor_agreement_relational_noun,0.448
distractor_agreement_relative_clause,0.499
drop_argument,0.589
ellipsis_n_bar_1,0.429
ellipsis_n_bar_2,0.387
existential_there_object_raising,0.704
existential_there_quantifiers_1,0.769
existential_there_quantifiers_2,0.336
existential_there_subject_raising,0.567
expletive_it_object_raising,0.657
inchoative,0.39
intransitive,0.445
irregular_past_participle_adjectives,0.828
irregular_past_participle_verbs,0.702
irregular_plural_subject_verb_agreement_1,0.554
irregular_plural_subject_verb_agreement_2,0.534
left_branch_island_echo_question,0.477
left_branch_island_simple_question,0.32
matrix_question_npi_licensor_present,0.091
npi_present_1,0.362
npi_present_2,0.387
only_npi_licensor_present,0.483
only_npi_scope,0.402
passive_1,0.591
passive_2,0.592
principle_A_c_command,0.626
principle_A_case_1,1.0
principle_A_case_2,0.444
principle_A_domain_1,0.908
principle_A_domain_2,0.452
principle_A_domain_3,0.524
principle_A_reconstruction,0.221
regular_plural_subject_verb_agreement_1,0.567
regular_plural_subject_verb_agreement_2,0.478
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.524
sentential_subject_island,0.575
superlative_quantifiers_1,0.388
superlative_quantifiers_2,0.585
tough_vs_raising_1,0.44
tough_vs_raising_2,0.627
transitive,0.618
wh_island,0.387
wh_questions_object_gap,0.474
wh_questions_subject_gap,0.748
wh_questions_subject_gap_long_distance,0.769
wh_vs_that_no_gap,0.934
wh_vs_that_no_gap_long_distance,0.946
wh_vs_that_with_gap,0.115
wh_vs_that_with_gap_long_distance,0.094
