,best
adjunct_island,0.504
anaphor_gender_agreement,0.634
anaphor_number_agreement,0.483
animate_subject_passive,0.555
animate_subject_trans,0.503
causative,0.456
complex_NP_island,0.454
coordinate_structure_constraint_complex_left_branch,0.273
coordinate_structure_constraint_object_extraction,0.307
determiner_noun_agreement_1,0.496
determiner_noun_agreement_2,0.49
determiner_noun_agreement_irregular_1,0.519
determiner_noun_agreement_irregular_2,0.524
determiner_noun_agreement_with_adj_2,0.482
determiner_noun_agreement_with_adj_irregular_1,0.546
determiner_noun_agreement_with_adj_irregular_2,0.528
determiner_noun_agreement_with_adjective_1,0.481
distractor_agreement_relational_noun,0.455
distractor_agreement_relative_clause,0.49
drop_argument,0.43
ellipsis_n_bar_1,0.191
ellipsis_n_bar_2,0.487
existential_there_object_raising,0.689
existential_there_quantifiers_1,0.659
existential_there_quantifiers_2,0.194
existential_there_subject_raising,0.583
expletive_it_object_raising,0.615
inchoative,0.444
intransitive,0.394
irregular_past_participle_adjectives,0.531
irregular_past_participle_verbs,0.768
irregular_plural_subject_verb_agreement_1,0.558
irregular_plural_subject_verb_agreement_2,0.569
left_branch_island_echo_question,0.564
left_branch_island_simple_question,0.314
matrix_question_npi_licensor_present,0.043
npi_present_1,0.42
npi_present_2,0.348
only_npi_licensor_present,0.0
only_npi_scope,0.064
passive_1,0.5
passive_2,0.458
principle_A_c_command,0.542
principle_A_case_1,1.0
principle_A_case_2,0.424
principle_A_domain_1,0.994
principle_A_domain_2,0.489
principle_A_domain_3,0.485
principle_A_reconstruction,0.221
regular_plural_subject_verb_agreement_1,0.541
regular_plural_subject_verb_agreement_2,0.489
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.72
sentential_subject_island,0.593
superlative_quantifiers_1,0.494
superlative_quantifiers_2,0.473
tough_vs_raising_1,0.469
tough_vs_raising_2,0.584
transitive,0.57
wh_island,0.787
wh_questions_object_gap,0.507
wh_questions_subject_gap,0.808
wh_questions_subject_gap_long_distance,0.854
wh_vs_that_no_gap,0.883
wh_vs_that_no_gap_long_distance,0.898
wh_vs_that_with_gap,0.123
wh_vs_that_with_gap_long_distance,0.152
