,best
adjunct_island,0.464
anaphor_gender_agreement,0.299
anaphor_number_agreement,0.476
animate_subject_passive,0.403
animate_subject_trans,0.464
causative,0.493
complex_NP_island,0.715
coordinate_structure_constraint_complex_left_branch,0.317
coordinate_structure_constraint_object_extraction,0.656
determiner_noun_agreement_1,0.489
determiner_noun_agreement_2,0.5
determiner_noun_agreement_irregular_1,0.545
determiner_noun_agreement_irregular_2,0.517
determiner_noun_agreement_with_adj_2,0.492
determiner_noun_agreement_with_adj_irregular_1,0.55
determiner_noun_agreement_with_adj_irregular_2,0.507
determiner_noun_agreement_with_adjective_1,0.505
distractor_agreement_relational_noun,0.496
distractor_agreement_relative_clause,0.509
drop_argument,0.677
ellipsis_n_bar_1,0.205
ellipsis_n_bar_2,0.617
existential_there_object_raising,0.604
existential_there_quantifiers_1,0.716
existential_there_quantifiers_2,0.002
existential_there_subject_raising,0.594
expletive_it_object_raising,0.584
inchoative,0.569
intransitive,0.701
irregular_past_participle_adjectives,0.085
irregular_past_participle_verbs,0.595
irregular_plural_subject_verb_agreement_1,0.521
irregular_plural_subject_verb_agreement_2,0.53
left_branch_island_echo_question,0.506
left_branch_island_simple_question,0.378
matrix_question_npi_licensor_present,0.305
npi_present_1,0.136
npi_present_2,0.088
only_npi_licensor_present,0.019
only_npi_scope,0.24
passive_1,0.504
passive_2,0.486
principle_A_c_command,0.477
principle_A_case_1,0.981
principle_A_case_2,0.435
principle_A_domain_1,0.36
principle_A_domain_2,0.585
principle_A_domain_3,0.49
principle_A_reconstruction,0.29
regular_plural_subject_verb_agreement_1,0.483
regular_plural_subject_verb_agreement_2,0.475
sentential_negation_npi_licensor_present,0.954
sentential_negation_npi_scope,0.29
sentential_subject_island,0.503
superlative_quantifiers_1,0.692
superlative_quantifiers_2,0.157
tough_vs_raising_1,0.41
tough_vs_raising_2,0.629
transitive,0.504
wh_island,0.912
wh_questions_object_gap,0.348
wh_questions_subject_gap,0.551
wh_questions_subject_gap_long_distance,0.419
wh_vs_that_no_gap,0.711
wh_vs_that_no_gap_long_distance,0.755
wh_vs_that_with_gap,0.278
wh_vs_that_with_gap_long_distance,0.281
