,best
adjunct_island,0.499
superlative_quantifiers_2,0.615
anaphor_gender_agreement,0.722
tough_vs_raising_1,0.553
anaphor_number_agreement,0.569
tough_vs_raising_2,0.44
animate_subject_passive,0.507
wh_questions_subject_gap,0.941
animate_subject_trans,0.512
causative,0.451
wh_vs_that_no_gap,0.971
complex_NP_island,0.41
coordinate_structure_constraint_complex_left_branch,0.519
left_branch_island_echo_question,0.613
coordinate_structure_constraint_object_extraction,0.511
transitive,0.463
determiner_noun_agreement_1,0.511
wh_island,0.869
determiner_noun_agreement_2,0.516
only_npi_scope,0.408
determiner_noun_agreement_irregular_1,0.474
passive_1,0.453
determiner_noun_agreement_irregular_2,0.516
principle_A_domain_1,0.708
determiner_noun_agreement_with_adj_2,0.488
left_branch_island_simple_question,0.519
determiner_noun_agreement_with_adj_irregular_1,0.475
matrix_question_npi_licensor_present,0.452
determiner_noun_agreement_with_adj_irregular_2,0.53
npi_present_1,0.202
determiner_noun_agreement_with_adjective_1,0.504
principle_A_domain_2,0.5
distractor_agreement_relational_noun,0.495
principle_A_domain_3,0.484
distractor_agreement_relative_clause,0.524
drop_argument,0.473
wh_vs_that_with_gap,0.041
ellipsis_n_bar_1,0.501
ellipsis_n_bar_2,0.468
principle_A_reconstruction,0.585
existential_there_object_raising,0.518
regular_plural_subject_verb_agreement_1,0.52
existential_there_quantifiers_1,0.781
regular_plural_subject_verb_agreement_2,0.523
existential_there_quantifiers_2,0.3
sentential_negation_npi_licensor_present,0.733
existential_there_subject_raising,0.489
wh_questions_object_gap,0.757
expletive_it_object_raising,0.521
inchoative,0.552
intransitive,0.567
sentential_negation_npi_scope,0.732
irregular_past_participle_adjectives,0.127
sentential_subject_island,0.506
irregular_past_participle_verbs,0.584
npi_present_2,0.194
irregular_plural_subject_verb_agreement_1,0.535
only_npi_licensor_present,0.124
irregular_plural_subject_verb_agreement_2,0.51
passive_2,0.451
principle_A_c_command,0.342
principle_A_case_1,0.552
principle_A_case_2,0.486
superlative_quantifiers_1,0.976
wh_questions_subject_gap_long_distance,0.906
wh_vs_that_no_gap_long_distance,0.993
wh_vs_that_with_gap_long_distance,0.019
