,best
adjunct_island,0.545
anaphor_gender_agreement,0.695
anaphor_number_agreement,0.612
animate_subject_passive,0.594
animate_subject_trans,0.377
causative,0.448
complex_NP_island,0.467
coordinate_structure_constraint_complex_left_branch,0.261
coordinate_structure_constraint_object_extraction,0.483
determiner_noun_agreement_1,0.521
determiner_noun_agreement_2,0.49
determiner_noun_agreement_irregular_1,0.478
determiner_noun_agreement_irregular_2,0.531
determiner_noun_agreement_with_adj_2,0.473
determiner_noun_agreement_with_adj_irregular_1,0.496
determiner_noun_agreement_with_adj_irregular_2,0.537
determiner_noun_agreement_with_adjective_1,0.492
distractor_agreement_relational_noun,0.477
distractor_agreement_relative_clause,0.532
drop_argument,0.455
ellipsis_n_bar_1,0.287
ellipsis_n_bar_2,0.372
existential_there_object_raising,0.695
existential_there_quantifiers_1,0.756
existential_there_quantifiers_2,0.242
existential_there_subject_raising,0.606
expletive_it_object_raising,0.639
inchoative,0.322
intransitive,0.374
irregular_past_participle_adjectives,0.213
irregular_past_participle_verbs,0.834
irregular_plural_subject_verb_agreement_1,0.526
irregular_plural_subject_verb_agreement_2,0.504
left_branch_island_echo_question,0.64
left_branch_island_simple_question,0.278
matrix_question_npi_licensor_present,0.037
npi_present_1,0.348
npi_present_2,0.29
only_npi_licensor_present,0.27
only_npi_scope,0.256
passive_1,0.626
passive_2,0.594
principle_A_c_command,0.463
principle_A_case_1,1.0
principle_A_case_2,0.413
principle_A_domain_1,1.0
principle_A_domain_2,0.48
principle_A_domain_3,0.516
principle_A_reconstruction,0.414
regular_plural_subject_verb_agreement_1,0.476
regular_plural_subject_verb_agreement_2,0.455
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.794
sentential_subject_island,0.508
superlative_quantifiers_1,0.509
superlative_quantifiers_2,0.276
tough_vs_raising_1,0.44
tough_vs_raising_2,0.6
transitive,0.622
wh_island,0.95
wh_questions_object_gap,0.722
wh_questions_subject_gap,0.984
wh_questions_subject_gap_long_distance,0.911
wh_vs_that_no_gap,0.995
wh_vs_that_no_gap_long_distance,0.995
wh_vs_that_with_gap,0.012
wh_vs_that_with_gap_long_distance,0.008
