,best
adjunct_island,0.592
superlative_quantifiers_2,0.293
anaphor_gender_agreement,0.624
tough_vs_raising_1,0.554
anaphor_number_agreement,0.523
tough_vs_raising_2,0.503
animate_subject_passive,0.582
wh_questions_subject_gap,0.866
animate_subject_trans,0.47
causative,0.479
wh_vs_that_no_gap,0.926
complex_NP_island,0.327
coordinate_structure_constraint_complex_left_branch,0.189
left_branch_island_echo_question,0.627
coordinate_structure_constraint_object_extraction,0.272
transitive,0.565
determiner_noun_agreement_1,0.561
wh_island,0.892
determiner_noun_agreement_2,0.497
only_npi_scope,0.144
determiner_noun_agreement_irregular_1,0.523
passive_1,0.429
determiner_noun_agreement_irregular_2,0.542
principle_A_domain_1,0.998
determiner_noun_agreement_with_adj_2,0.482
left_branch_island_simple_question,0.227
determiner_noun_agreement_with_adj_irregular_1,0.524
matrix_question_npi_licensor_present,0.18
determiner_noun_agreement_with_adj_irregular_2,0.523
npi_present_1,0.424
determiner_noun_agreement_with_adjective_1,0.502
principle_A_domain_2,0.512
distractor_agreement_relational_noun,0.463
principle_A_domain_3,0.508
distractor_agreement_relative_clause,0.516
drop_argument,0.429
wh_vs_that_with_gap,0.158
ellipsis_n_bar_1,0.254
ellipsis_n_bar_2,0.48
principle_A_reconstruction,0.099
existential_there_object_raising,0.696
regular_plural_subject_verb_agreement_1,0.585
existential_there_quantifiers_1,0.774
regular_plural_subject_verb_agreement_2,0.503
existential_there_quantifiers_2,0.222
sentential_negation_npi_licensor_present,1.0
existential_there_subject_raising,0.509
wh_questions_object_gap,0.431
expletive_it_object_raising,0.603
inchoative,0.559
intransitive,0.469
sentential_negation_npi_scope,0.592
irregular_past_participle_adjectives,0.555
sentential_subject_island,0.424
irregular_past_participle_verbs,0.662
npi_present_2,0.4
irregular_plural_subject_verb_agreement_1,0.575
only_npi_licensor_present,0.003
irregular_plural_subject_verb_agreement_2,0.556
passive_2,0.342
principle_A_c_command,0.432
principle_A_case_1,1.0
principle_A_case_2,0.481
superlative_quantifiers_1,0.473
wh_questions_subject_gap_long_distance,0.947
wh_vs_that_no_gap_long_distance,0.932
wh_vs_that_with_gap_long_distance,0.131
