,best
adjunct_island,0.755
superlative_quantifiers_2,0.829
anaphor_gender_agreement,0.746
tough_vs_raising_1,0.453
anaphor_number_agreement,0.822
tough_vs_raising_2,0.608
animate_subject_passive,0.576
wh_questions_subject_gap,0.862
animate_subject_trans,0.612
causative,0.436
wh_vs_that_no_gap,0.88
complex_NP_island,0.412
coordinate_structure_constraint_complex_left_branch,0.203
left_branch_island_echo_question,0.521
coordinate_structure_constraint_object_extraction,0.707
transitive,0.611
determiner_noun_agreement_1,0.681
wh_island,0.794
determiner_noun_agreement_2,0.717
only_npi_scope,0.67
determiner_noun_agreement_irregular_1,0.647
passive_1,0.595
determiner_noun_agreement_irregular_2,0.788
principle_A_domain_1,0.975
determiner_noun_agreement_with_adj_2,0.592
left_branch_island_simple_question,0.338
determiner_noun_agreement_with_adj_irregular_1,0.621
matrix_question_npi_licensor_present,0.084
determiner_noun_agreement_with_adj_irregular_2,0.646
npi_present_1,0.255
determiner_noun_agreement_with_adjective_1,0.553
principle_A_domain_2,0.456
distractor_agreement_relational_noun,0.406
principle_A_domain_3,0.498
distractor_agreement_relative_clause,0.439
drop_argument,0.522
wh_vs_that_with_gap,0.18
ellipsis_n_bar_1,0.444
ellipsis_n_bar_2,0.584
principle_A_reconstruction,0.223
existential_there_object_raising,0.659
regular_plural_subject_verb_agreement_1,0.613
existential_there_quantifiers_1,0.885
regular_plural_subject_verb_agreement_2,0.558
existential_there_quantifiers_2,0.457
sentential_negation_npi_licensor_present,0.997
existential_there_subject_raising,0.593
wh_questions_object_gap,0.483
expletive_it_object_raising,0.636
inchoative,0.416
intransitive,0.44
sentential_negation_npi_scope,0.541
irregular_past_participle_adjectives,0.899
sentential_subject_island,0.497
irregular_past_participle_verbs,0.79
npi_present_2,0.238
irregular_plural_subject_verb_agreement_1,0.683
only_npi_licensor_present,0.041
irregular_plural_subject_verb_agreement_2,0.626
passive_2,0.518
principle_A_c_command,0.63
principle_A_case_1,1.0
principle_A_case_2,0.432
superlative_quantifiers_1,0.193
wh_questions_subject_gap_long_distance,0.88
wh_vs_that_no_gap_long_distance,0.886
wh_vs_that_with_gap_long_distance,0.19
