,best
adjunct_island,0.568
anaphor_gender_agreement,0.636
anaphor_number_agreement,0.56
animate_subject_passive,0.574
animate_subject_trans,0.518
causative,0.457
complex_NP_island,0.444
coordinate_structure_constraint_complex_left_branch,0.202
coordinate_structure_constraint_object_extraction,0.274
determiner_noun_agreement_1,0.519
determiner_noun_agreement_2,0.506
determiner_noun_agreement_irregular_1,0.535
determiner_noun_agreement_irregular_2,0.592
determiner_noun_agreement_with_adj_2,0.485
determiner_noun_agreement_with_adj_irregular_1,0.546
determiner_noun_agreement_with_adj_irregular_2,0.531
determiner_noun_agreement_with_adjective_1,0.497
distractor_agreement_relational_noun,0.462
distractor_agreement_relative_clause,0.472
drop_argument,0.405
ellipsis_n_bar_1,0.238
ellipsis_n_bar_2,0.498
existential_there_object_raising,0.667
existential_there_quantifiers_1,0.765
existential_there_quantifiers_2,0.283
existential_there_subject_raising,0.554
expletive_it_object_raising,0.613
inchoative,0.479
intransitive,0.388
irregular_past_participle_adjectives,0.422
irregular_past_participle_verbs,0.778
irregular_plural_subject_verb_agreement_1,0.583
irregular_plural_subject_verb_agreement_2,0.55
left_branch_island_echo_question,0.599
left_branch_island_simple_question,0.292
matrix_question_npi_licensor_present,0.061
npi_present_1,0.364
npi_present_2,0.351
only_npi_licensor_present,0.0
only_npi_scope,0.083
passive_1,0.459
passive_2,0.443
principle_A_c_command,0.579
principle_A_case_1,1.0
principle_A_case_2,0.467
principle_A_domain_1,0.998
principle_A_domain_2,0.512
principle_A_domain_3,0.488
principle_A_reconstruction,0.196
regular_plural_subject_verb_agreement_1,0.524
regular_plural_subject_verb_agreement_2,0.51
sentential_negation_npi_licensor_present,0.999
sentential_negation_npi_scope,0.65
sentential_subject_island,0.544
superlative_quantifiers_1,0.49
superlative_quantifiers_2,0.637
tough_vs_raising_1,0.432
tough_vs_raising_2,0.607
transitive,0.57
wh_island,0.954
wh_questions_object_gap,0.447
wh_questions_subject_gap,0.761
wh_questions_subject_gap_long_distance,0.784
wh_vs_that_no_gap,0.772
wh_vs_that_no_gap_long_distance,0.828
wh_vs_that_with_gap,0.269
wh_vs_that_with_gap_long_distance,0.253
