,epoch_2
adjunct_island,0.54
anaphor_gender_agreement,0.675
anaphor_number_agreement,0.598
animate_subject_passive,0.543
animate_subject_trans,0.394
causative,0.392
complex_NP_island,0.601
coordinate_structure_constraint_complex_left_branch,0.185
coordinate_structure_constraint_object_extraction,0.378
determiner_noun_agreement_1,0.513
determiner_noun_agreement_2,0.505
determiner_noun_agreement_irregular_1,0.497
determiner_noun_agreement_irregular_2,0.495
determiner_noun_agreement_with_adj_2,0.485
determiner_noun_agreement_with_adj_irregular_1,0.547
determiner_noun_agreement_with_adj_irregular_2,0.532
determiner_noun_agreement_with_adjective_1,0.511
distractor_agreement_relational_noun,0.45
distractor_agreement_relative_clause,0.496
drop_argument,0.665
ellipsis_n_bar_1,0.319
ellipsis_n_bar_2,0.48
existential_there_object_raising,0.699
existential_there_quantifiers_1,0.636
existential_there_quantifiers_2,0.005
existential_there_subject_raising,0.551
expletive_it_object_raising,0.673
inchoative,0.361
intransitive,0.532
irregular_past_participle_adjectives,0.334
irregular_past_participle_verbs,0.791
irregular_plural_subject_verb_agreement_1,0.525
irregular_plural_subject_verb_agreement_2,0.512
left_branch_island_echo_question,0.279
left_branch_island_simple_question,0.21
matrix_question_npi_licensor_present,0.178
npi_present_1,0.335
npi_present_2,0.28
only_npi_licensor_present,0.854
only_npi_scope,0.255
passive_1,0.594
passive_2,0.561
principle_A_c_command,0.364
principle_A_case_1,1.0
principle_A_case_2,0.395
principle_A_domain_1,0.913
principle_A_domain_2,0.469
principle_A_domain_3,0.527
principle_A_reconstruction,0.171
regular_plural_subject_verb_agreement_1,0.584
regular_plural_subject_verb_agreement_2,0.436
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.485
sentential_subject_island,0.541
superlative_quantifiers_1,0.288
superlative_quantifiers_2,0.18
tough_vs_raising_1,0.456
tough_vs_raising_2,0.574
transitive,0.563
wh_island,0.96
wh_questions_object_gap,0.439
wh_questions_subject_gap,0.68
wh_questions_subject_gap_long_distance,0.617
wh_vs_that_no_gap,0.812
wh_vs_that_no_gap_long_distance,0.787
wh_vs_that_with_gap,0.184
wh_vs_that_with_gap_long_distance,0.27
