,best
adjunct_island,0.546
superlative_quantifiers_2,0.566
anaphor_gender_agreement,0.695
tough_vs_raising_1,0.475
anaphor_number_agreement,0.623
tough_vs_raising_2,0.58
animate_subject_passive,0.554
wh_questions_subject_gap,0.795
animate_subject_trans,0.56
causative,0.428
wh_vs_that_no_gap,0.833
complex_NP_island,0.577
coordinate_structure_constraint_complex_left_branch,0.201
left_branch_island_echo_question,0.614
coordinate_structure_constraint_object_extraction,0.624
transitive,0.59
determiner_noun_agreement_1,0.516
wh_island,0.826
determiner_noun_agreement_2,0.495
only_npi_scope,0.323
determiner_noun_agreement_irregular_1,0.55
passive_1,0.563
determiner_noun_agreement_irregular_2,0.562
principle_A_domain_1,0.999
determiner_noun_agreement_with_adj_2,0.477
left_branch_island_simple_question,0.321
determiner_noun_agreement_with_adj_irregular_1,0.537
matrix_question_npi_licensor_present,0.041
determiner_noun_agreement_with_adj_irregular_2,0.535
npi_present_1,0.416
determiner_noun_agreement_with_adjective_1,0.507
principle_A_domain_2,0.497
distractor_agreement_relational_noun,0.444
principle_A_domain_3,0.507
distractor_agreement_relative_clause,0.479
drop_argument,0.514
wh_vs_that_with_gap,0.252
ellipsis_n_bar_1,0.356
ellipsis_n_bar_2,0.468
principle_A_reconstruction,0.289
existential_there_object_raising,0.693
regular_plural_subject_verb_agreement_1,0.562
existential_there_quantifiers_1,0.838
regular_plural_subject_verb_agreement_2,0.473
existential_there_quantifiers_2,0.116
sentential_negation_npi_licensor_present,1.0
existential_there_subject_raising,0.576
wh_questions_object_gap,0.408
expletive_it_object_raising,0.642
inchoative,0.378
intransitive,0.412
sentential_negation_npi_scope,0.703
irregular_past_participle_adjectives,0.771
sentential_subject_island,0.573
irregular_past_participle_verbs,0.761
npi_present_2,0.345
irregular_plural_subject_verb_agreement_1,0.571
only_npi_licensor_present,0.015
irregular_plural_subject_verb_agreement_2,0.534
passive_2,0.535
principle_A_c_command,0.505
principle_A_case_1,1.0
principle_A_case_2,0.429
superlative_quantifiers_1,0.323
wh_questions_subject_gap_long_distance,0.78
wh_vs_that_no_gap_long_distance,0.893
wh_vs_that_with_gap_long_distance,0.206
